214	fffc	fffe	-4	-2
215	fffc	0001	-4	1
216	000e	007a	14	122
217	fff4	000b	-12	11
218	fffd	ffff	-3	-1
219	fffc	0002	-4	2
220	0002	ffef	2	-17
221	fffb	0003	-5	3
222	fffd	fffd	-3	-3
223	fffb	0000	-5	0
224	fcf0	f9cf	-784	-1585
225	ff07	0042	-249	66
226	fffd	0000	-3	0
227	fffb	0002	-5	2
228	fffc	fffc	-4	-4
229	fff1	0008	-15	8
230	fffc	fffe	-4	-2
231	fffc	0000	-4	0
232	ffd6	ffc0	-42	-64
233	ffe4	ffdf	-28	-33
234	fffd	ffff	-3	-1
235	fffd	0000	-3	0
236	fffc	fffa	-4	-6
237	fffa	0004	-6	4
238	fffc	fffe	-4	-2
239	fffb	ffff	-5	-1
240	0089	0037	137	55
241	0021	003d	33	61
242	fffd	0000	-3	0
243	fffd	0001	-3	1
244	fffb	fff9	-5	-7
245	fffc	0005	-4	5
246	fffd	fffe	-3	-2
247	fffc	0000	-4	0
248	ffca	fff4	-54	-12
249	fff8	ffdd	-8	-35
250	fffd	fffe	-3	-2
251	fffc	0000	-4	0
252	fffb	fff7	-5	-9
253	fffb	0002	-5	2
254	fffc	fffd	-4	-3
255	fffb	ffff	-5	-1
256	0277	01cd	631	461
257	007e	00f6	126	246
258	fffc	0000	-4	0
259	fffc	0003	-4	3
260	fffc	fffc	-4	-4
261	fff6	fffc	-10	-4
262	fffd	0000	-3	0
263	fffc	0000	-4	0
264	fff0	fff7	-16	-9
265	ff60	005e	-160	94
266	fffd	ffff	-3	-1
267	fffd	0001	-3	1
268	fffd	fffa	-3	-6
269	fffe	0004	-2	4
270	fffe	fffe	-2	-2
271	fffc	ffff	-4	-1
272	00c6	fff0	198	-16
273	0008	002e	8	46
274	fffc	0000	-4	0
275	fffc	0002	-4	2
276	fffd	fffb	-3	-5
277	fffc	0004	-4	4
278	fffb	fffd	-5	-3
279	fffc	0000	-4	0
280	ffe2	001a	-30	26
281	001b	0009	27	9
282	fffd	fffe	-3	-2
283	fffc	0001	-4	1
284	ffff	fff9	-1	-7
285	fffd	0001	-3	1
286	fffe	fffd	-2	-3
287	fffd	ffff	-3	-1
288	ff73	0050	-141	80
289	ff82	ff7a	-126	-134
290	fffd	0000	-3	0
291	fffc	0002	-4	2
292	fffc	fffc	-4	-4
293	fff7	0005	-9	5
294	fffc	fffe	-4	-2
295	fffc	0000	-4	0
296	000f	0015	15	21
297	fffe	0047	-2	71
298	fffe	ffff	-2	-1
299	fffc	0002	-4	2
300	fffb	fff9	-5	-7
301	fffb	0004	-5	4
302	fffc	fffe	-4	-2
303	fffc	0000	-4	0
304	ff2a	ff0f	-214	-241
305	00e8	00bb	232	187
306	fffd	ffff	-3	-1
307	fffb	0002	-5	2
308	fffc	fffb	-4	-5
309	fffa	0003	-6	3
310	fffd	fffe	-3	-2
311	fffc	0001	-4	1
312	ffee	ff9e	-18	-98
313	fff2	fff8	-14	-8
314	fffb	ffff	-5	-1
315	fffd	0000	-3	0
316	ffff	fff9	-1	-7
317	fffb	0002	-5	2
318	fffb	fffe	-5	-2
319	fffb	0000	-5	0
320	0034	ffad	52	-83
321	fc56	fffd	-938	-3
322	fffd	ffff	-3	-1
323	fffc	0002	-4	2
324	fffd	fffc	-3	-4
325	fff9	0006	-7	6
326	fffd	fffe	-3	-2
327	fffc	ffff	-4	-1
328	ffef	0014	-17	20
329	ffe6	ffdd	-26	-35
330	fffd	ffff	-3	-1
331	fffc	0002	-4	2
332	fffb	fffb	-5	-5
333	fffa	0004	-6	4
334	fffc	fffd	-4	-3
335	fffc	ffff	-4	-1
336	006f	00ab	111	171
337	ff83	0021	-125	33
338	fffd	ffff	-3	-1
339	fffc	0003	-4	3
340	fffc	fffc	-4	-4
341	fffa	0004	-6	4
342	fffd	ffff	-3	-1
343	fffd	0000	-3	0
344	ffb9	000f	-71	15
345	ffff	0016	-1	22
346	fffd	ffff	-3	-1
347	fffc	0001	-4	1
348	ffff	fffc	-1	-4
349	fffc	0003	-4	3
350	fffc	fffd	-4	-3
351	fffb	0000	-5	0
352	04a7	fd76	1191	-650
353	0035	0031	53	49
354	fffc	0000	-4	0
355	fffc	0002	-4	2
356	fffb	fffe	-5	-2
357	fffb	0004	-5	4
358	fffc	0000	-4	0
359	fffc	0000	-4	0
360	fff8	000e	-8	14
361	fffa	ffd2	-6	-46
362	fffc	fffe	-4	-2
363	fffd	0000	-3	0
364	fffc	fffa	-4	-6
365	fffb	0003	-5	3
366	fffd	fffc	-3	-4
367	fffc	ffff	-4	-1
368	ff81	003b	-127	59
369	023d	01c0	573	448
370	fffc	ffff	-4	-1
371	fffd	0002	-3	2
372	fffc	fffb	-4	-5
373	fff9	0006	-7	6
374	fffd	ffff	-3	-1
375	fffc	0000	-4	0
376	0016	0055	22	85
377	fffa	0000	-6	0
378	fffd	fffe	-3	-2
379	fffe	0002	-2	2
380	fff8	0002	-8	2
381	fffb	0002	-5	2
382	fffc	fffd	-4	-3
383	fffb	ffff	-5	-1
384	00f8	fec7	248	-313
385	00f7	0136	247	310
386	fffc	0000	-4	0
387	fffb	0002	-5	2
388	fffc	fffd	-4	-3
389	fff7	fffc	-9	-4
390	fffe	fffe	-2	-2
391	fffc	0001	-4	1
392	fffa	fffe	-6	-2
393	0016	ffa8	22	-88
394	fffd	ffff	-3	-1
395	fffd	0001	-3	1
396	fffa	fff9	-6	-7
397	fffb	0004	-5	4
398	fffc	fffe	-4	-2
399	fffa	0001	-6	1
400	023d	fe3e	573	-450
401	ff80	ffc1	-128	-63
402	fffd	ffff	-3	-1
403	fffd	0002	-3	2
404	fffc	fffc	-4	-4
405	fffc	0004	-4	4
406	fffd	ffff	-3	-1
407	fffc	0000	-4	0
408	fffc	002a	-4	42
409	fff7	ffef	-9	-17
410	fffd	ffff	-3	-1
411	fffc	0000	-4	0
412	fffd	fffb	-3	-5
413	fffa	0001	-6	1
414	fffd	fffe	-3	-2
415	fffb	0001	-5	1
416	0035	ffcd	53	-51
417	04a7	0287	1191	647
418	fffc	ffff	-4	-1
419	fffc	0002	-4	2
420	fffd	fffc	-3	-4
421	fffe	0003	-2	3
422	fffc	ffff	-4	-1
423	fffd	0001	-3	1
424	0000	ffe9	0	-23
425	ffb7	ffee	-73	-18
426	fffd	ffff	-3	-1
427	fffc	0000	-4	0
428	fffb	fffa	-5	-6
429	fffb	0003	-5	3
430	fffd	fffd	-3	-3
431	fffc	0000	-4	0
432	ff84	ffdc	-124	-36
433	0070	ff51	112	-175
434	fffd	ffff	-3	-1
435	fffc	0002	-4	2
436	fffb	fffb	-5	-5
437	fffb	0003	-5	3
438	fffd	fffd	-3	-3
439	fffd	0000	-3	0
440	ffe8	0020	-24	32
441	ffee	ffe9	-18	-23
442	fffc	ffff	-4	-1
443	fffc	0001	-4	1
444	fff9	fff8	-7	-8
