0	ff04	ffc2	-252	-62
238	0003	0003	3	3
239	0004	ffff	4	-1
240	002d	ff90	45	-112
241	0042	ffa2	66	-94
242	0004	0000	4	0
243	0004	fffb	4	-5
244	0002	0006	2	6
245	0003	fff8	3	-8
246	0005	0002	5	2
247	0005	fffe	5	-2
248	ffe3	0015	-29	21
249	000d	ffd1	13	-47
250	0004	0001	4	1
251	0004	fffd	4	-3
252	0002	000d	2	13
253	0004	fff9	4	-7
254	0004	0002	4	2
255	0004	ffff	4	-1
256	ff10	01ea	-240	490
257	ff3d	0066	-195	102
258	0004	0000	4	0
259	0005	fffb	5	-5
260	0003	0004	3	4
261	0003	ffef	3	-17
262	0005	0000	5	0
263	0003	fffd	3	-3
264	fffa	000f	-6	15
265	ffe0	00db	-32	219
266	0004	0000	4	0
267	0003	fffb	3	-5
268	0003	0005	3	5
269	0004	fff8	4	-8
270	0004	0003	4	3
271	0004	fffe	4	-2
272	feca	ff87	-310	-121
273	ffdf	ff79	-33	-135
274	0004	0000	4	0
275	0004	fffb	4	-5
276	0001	0002	1	2
277	0005	fff7	5	-9
278	0003	0001	3	1
279	0004	fffd	4	-3
280	fffd	002b	-3	43
281	fff7	001f	-9	31
282	0004	0000	4	0
283	0005	fffd	5	-3
284	0000	0009	0	9
285	0003	fff9	3	-7
286	0004	0004	4	4
287	0005	ffff	5	-1
288	ffe6	ff81	-26	-127
289	02c0	fea9	704	-343
290	0004	0000	4	0
291	0004	fffa	4	-6
292	0003	0004	3	4
293	0002	fff5	2	-11
294	0004	0002	4	2
295	0004	fffd	4	-3
296	ffe4	0006	-28	6
297	ffe6	ffbe	-26	-66
298	0005	0000	5	0
299	0005	fffc	5	-4
300	0007	000a	7	10
301	0005	fff8	5	-8
302	0005	0004	5	4
303	0004	ffff	4	-1
304	fe0a	fdd6	-502	-554
305	000c	ff79	12	-135
306	0004	0000	4	0
307	0005	fffb	5	-5
308	0003	0005	3	5
309	0005	fff6	5	-10
310	0004	0001	4	1
311	0005	fffe	5	-2
312	ffdf	00be	-33	190
313	0010	fff0	16	-16
314	0004	0001	4	1
315	0005	fffe	5	-2
316	0004	000b	4	11
317	0004	fffa	4	-6
318	0004	0003	4	3
319	0005	0000	5	0
320	fcc9	ff77	-823	-137
321	fbc5	fc98	-1083	-872
322	0004	0000	4	0
323	0004	fffb	4	-5
324	0005	0003	5	3
325	0004	fff2	4	-14
326	0004	0002	4	2
327	0004	fffe	4	-2
328	0000	0006	0	6
329	ffe7	ffd7	-25	-41
330	0004	0000	4	0
331	0005	fffb	5	-5
332	0002	0006	2	6
333	0003	fff5	3	-11
334	0004	0001	4	1
335	0005	fffe	5	-2
336	ff5a	002c	-166	44
337	004e	008d	78	141
338	0004	0000	4	0
339	0004	fffb	4	-5
340	0003	0004	3	4
341	0003	fff6	3	-10
342	0004	0002	4	2
343	0004	fffe	4	-2
344	0095	fff2	149	-14
345	000f	ffe2	15	-30
346	0004	0000	4	0
347	0003	fffc	3	-4
348	0000	0004	0	4
349	0003	fffa	3	-6
350	0003	0003	3	3
351	0003	fffe	3	-2
352	02c5	04d9	709	1241
353	ff6d	fe6a	-147	-406
354	0004	0000	4	0
355	0004	fffa	4	-6
356	0003	0004	3	4
357	0004	fff5	4	-11
358	0004	0001	4	1
359	0004	fffe	4	-2
360	000e	fff8	14	-8
361	ffcb	0000	-53	0
362	0003	0001	3	1
363	0004	fffc	4	-4
364	0003	0008	3	8
365	0005	fff8	5	-8
366	0004	0003	4	3
367	0004	ffff	4	-1
368	001e	ff8a	30	-118
369	0178	fd44	376	-700
370	0004	0000	4	0
371	0004	fffc	4	-4
372	0003	0006	3	6
373	0002	fff9	2	-7
374	0005	0002	5	2
375	0003	fffe	3	-2
376	0081	0002	129	2
377	0000	fff3	0	-13
378	0004	0001	4	1
379	0004	fffd	4	-3
380	fffe	0015	-2	21
381	0004	fff9	4	-7
382	0005	0001	5	1
383	0004	ffff	4	-1
384	feda	0031	-294	49
385	fed7	ffca	-297	-54
386	0004	0000	4	0
387	0005	fffc	5	-4
388	0003	0003	3	3
389	fffe	ffe8	-2	-24
390	0004	0001	4	1
391	0004	fffd	4	-3
392	0000	000a	0	10
393	0081	fffb	129	-5
394	0003	0000	3	0
395	0005	fffc	5	-4
396	0001	0004	1	4
397	0003	fff7	3	-9
398	0004	0002	4	2
399	0004	fffe	4	-2
400	0178	02b8	376	696
401	001e	0074	30	116
402	0004	0000	4	0
403	0004	fffa	4	-6
404	0004	0005	4	5
405	0004	fff6	4	-10
406	0004	0002	4	2
407	0003	fffe	3	-2
408	ffcc	ffff	-52	-1
409	000e	0007	14	7
410	0004	0001	4	1
411	0004	fffd	4	-3
412	0003	0008	3	8
413	0004	fff8	4	-8
414	0004	0002	4	2
415	0005	ffff	5	-1
416	ff6f	0191	-145	401
417	02c4	fb23	708	-1245
418	0004	0000	4	0
419	0004	fffb	4	-5
420	0003	0003	3	3
421	0001	fff9	1	-7
422	0003	0002	3	2
423	0004	fffd	4	-3
424	000e	001a	14	26
425	0095	000c	149	12
426	0004	0000	4	0
427	0005	fffd	5	-3
428	0003	0007	3	7
429	0003	fff9	3	-7
430	0003	0003	3	3
431	0004	ffff	4	-1
432	004e	ff70	78	-144
433	ff58	ffcf	-168	-49
434	0005	0000	5	0
435	0004	fffd	4	-3
436	0002	0007	2	7
437	0003	fff7	3	-9
438	0005	0003	5	3
439	0004	fffe	4	-2
440	ffe8	0026	-24	38
441	0001	fff6	1	-10
442	0004	0000	4	0
443	0004	fffc	4	-4
444	0004	000b	4	11
445	0005	fffa	5	-6
446	0004	0003	4	3
447	0005	ffff	5	-1
448	fbc8	0363	-1080	867
449	fcc7	0086	-825	134
450	0004	0000	4	0
451	0003	fffb	3	-5
452	0003	0004	3	4
453	0004	fff3	4	-13
454	0004	0001	4	1
455	0004	fffd	4	-3
456	000f	000d	15	13
457	ffde	ff3e	-34	-194
458	0005	0000	5	0
459	0004	fffd	4	-3
460	0004	0007	4	7
461	0003	fff8	3	-8
462	0004	0003	4	3
463	0004	fffe	4	-2
464	000c	0083	12	131
465	fe09	0227	-503	551
466	0004	0000	4	0
467	0005	fffa	5	-6
468	0004	0005	4	5
469	0007	fff3	7	-13
470	0005	0002	5	2
471	0005	fffe	5	-2
472	ffe7	003e	-25	62
473	ffe2	fff7	-30	-9
474	0004	0001	4	1
475	0004	fffc	4	-4
476	0001	0008	1	8
477	0004	fff9	4	-7
478	0004	0003	4	3
479	0004	fffe	4	-2
480	02c0	0152	704	338
481	ffe4	007c	-28	124
482	0004	0000	4	0
483	0003	fffb	3	-5
484	0002	0005	2	5
485	0001	fff5	1	-11
486	0005	0002	5	2
487	0004	fffe	4	-2
488	fff8	ffe0	-8	-32
489	fffc	ffd2	-4	-46
490	0004	0001	4	1
491	0003	fffd	3	-3
492	0004	0007	4	7
493	0002	fffc	2	-4
494	0004	0003	4	3
495	0005	fffe	5	-2
496	ffe1	0083	-31	131
497	fec8	0077	-312	119
498	0003	0000	3	0
499	0004	fffb	4	-5
500	0003	0005	3	5
501	0004	fff8	4	-8
502	0004	0003	4	3
503	0005	ffff	5	-1
