215	fff9	0001	-7	1
216	ff94	0000	-108	0
217	fffe	0008	-2	8
218	fffa	ffff	-6	-1
219	fff9	0003	-7	3
220	fff4	fffc	-12	-4
221	fffa	0005	-6	5
222	fffa	fffa	-6	-6
223	fff9	0000	-7	0
224	03c8	fe7f	968	-385
225	000b	000b	11	11
226	fffa	0000	-6	0
227	fff9	0005	-7	5
228	fffc	fff8	-4	-8
229	fff9	0007	-7	7
230	fffb	fffc	-5	-4
231	fffa	0002	-6	2
232	ffca	ff96	-54	-106
233	0009	0024	9	36
234	fff9	fffe	-7	-2
235	fff9	0004	-7	4
236	fffb	fff4	-5	-12
237	fff9	0007	-7	7
238	fff8	fffc	-8	-4
239	fff9	0000	-7	0
240	0113	ff38	275	-200
241	fffe	ff24	-2	-220
242	fffb	fffe	-5	-2
243	fff9	0004	-7	4
244	fff9	fff6	-7	-10
245	fffa	0008	-6	8
246	fffa	fffd	-6	-3
247	fff7	0001	-9	1
248	0014	ffbf	20	-65
249	fff5	fffa	-11	-6
250	fffa	fffe	-6	-2
251	fff9	0002	-7	2
252	fff5	fff1	-11	-15
253	fff8	0006	-8	6
254	fffa	fffa	-6	-6
255	fff9	0000	-7	0
256	0162	fef2	354	-270
257	0081	0005	129	5
258	fffa	0000	-6	0
259	fff9	0006	-7	6
260	fffb	fffa	-5	-6
261	000c	000a	12	10
262	fffa	fffd	-6	-3
263	fffa	0003	-6	3
264	fffd	ffec	-3	-20
265	ff5e	ffc8	-162	-56
266	fff9	ffff	-7	-1
267	fffa	0004	-6	4
268	fffb	fff6	-5	-10
269	fffc	000b	-4	11
270	fffa	fffc	-6	-4
271	fff9	0001	-7	1
272	fefd	0013	-259	19
273	000d	00d6	13	214
274	fffa	ffff	-6	-1
275	fff9	0005	-7	5
276	fffb	fff7	-5	-9
277	fff9	000b	-7	11
278	fffb	fffb	-5	-5
279	fff8	0002	-8	2
280	001b	ffed	27	-19
281	ffed	001b	-19	27
282	fffb	fffe	-5	-2
283	fff9	0002	-7	2
284	fffa	fff5	-6	-11
285	fff8	0007	-8	7
286	fff9	fffa	-7	-6
287	fff9	0000	-7	0
288	ffd6	ff6e	-42	-146
289	00c9	00fe	201	254
290	fffa	ffff	-6	-1
291	fffa	0005	-6	5
292	fffa	fff8	-6	-8
293	0001	000e	1	14
294	fff9	fffe	-7	-2
295	fff9	0003	-7	3
296	fff7	ffdb	-9	-37
297	0008	fff0	8	-16
298	fffa	fffe	-6	-2
299	fffa	0003	-6	3
300	fff9	fff6	-7	-10
301	fff9	0007	-7	7
302	fffa	fffb	-6	-5
303	fff9	0000	-7	0
304	feef	020f	-273	527
305	fff7	001b	-9	27
306	fff9	ffff	-7	-1
307	fffa	0005	-6	5
308	fffa	fff7	-6	-9
309	fff9	0008	-7	8
310	fffa	fffc	-6	-4
311	fff9	0001	-7	1
312	0042	ff87	66	-121
313	ffed	0010	-19	16
314	fffb	fffe	-5	-2
315	fffa	0003	-6	3
316	fffc	fff7	-4	-9
317	fff8	0007	-8	7
318	fff9	fffa	-7	-6
319	fff8	0000	-8	0
320	003a	fb65	58	-1179
321	fdc5	03d5	-571	981
322	fffa	0000	-6	0
323	fff9	0006	-7	6
324	fffa	fff8	-6	-8
325	fffc	000c	-4	12
326	fffa	fffe	-6	-2
327	fff9	0002	-7	2
328	0009	ffe3	9	-29
329	ffc6	fff7	-58	-9
330	fffa	fffe	-6	-2
331	fff9	0003	-7	3
332	fffa	fff6	-6	-10
333	fff8	0008	-8	8
334	fffa	fffb	-6	-5
335	fff9	0001	-7	1
336	0008	ffd2	8	-46
337	005d	ff40	93	-192
338	fffa	ffff	-6	-1
339	fff9	0005	-7	5
340	fffb	fff8	-5	-8
341	fffb	0009	-5	9
342	fffb	fffd	-5	-3
343	fffa	0000	-6	0
344	0002	001e	2	30
345	0008	000a	8	10
