206	0000	0000	0	0
207	0000	fffe	0	-2
208	ff4a	002d	-182	45
209	ff50	fff2	-176	-14
210	0000	0000	0	0
211	0000	0000	0	0
212	0000	0000	0	0
213	0000	fff9	0	-7
214	0000	0000	0	0
215	0000	0000	0	0
216	0036	ffe4	54	-28
217	ffe8	0017	-24	23
218	0000	0000	0	0
219	0000	0000	0	0
220	ffcd	ffff	-51	-1
221	0000	0000	0	0
222	0000	0000	0	0
223	0000	ffff	0	-1
224	fdf2	ff62	-526	-158
225	0053	ff43	83	-189
226	0000	0000	0	0
227	0000	ffff	0	-1
228	0000	ffff	0	-1
229	fffb	fffc	-5	-4
230	0000	0000	0	0
231	0000	ffff	0	-1
232	fff3	005a	-13	90
233	ffe2	0008	-30	8
234	0000	0000	0	0
235	ffff	0000	-1	0
236	0003	ffff	3	-1
237	0001	fffe	1	-2
238	0000	ffff	0	-1
239	0000	ffff	0	-1
240	ff4f	002b	-177	43
241	00ac	ff98	172	-104
242	0000	0000	0	0
243	0000	ffff	0	-1
244	0000	0000	0	0
245	fffc	0000	-4	0
246	0000	0000	0	0
247	0000	fffe	0	-2
248	ffc7	006e	-57	110
249	ffd8	0005	-40	5
250	0000	0000	0	0
251	0000	ffff	0	-1
252	0000	0005	0	5
253	0000	fffe	0	-2
254	0000	ffff	0	-1
255	0000	fffe	0	-2
256	ffda	007f	-38	127
257	fedf	ffba	-289	-70
258	0000	0000	0	0
259	0000	0000	0	0
260	0000	0000	0	0
261	fff3	fff3	-13	-13
262	0000	0000	0	0
263	ffff	ffff	-1	-1
264	0001	0014	1	20
265	fffa	002d	-6	45
266	0000	0000	0	0
267	0000	ffff	0	-1
268	0000	0000	0	0
269	0000	ffff	0	-1
270	0000	0000	0	0
271	0000	0000	0	0
272	0076	ffc8	118	-56
273	ffe3	0067	-29	103
274	0000	0000	0	0
275	0000	0000	0	0
276	0000	0000	0	0
277	fffe	fff6	-2	-10
278	0000	0000	0	0
279	0000	0000	0	0
280	fffa	fff8	-6	-8
281	fff4	0017	-12	23
282	0000	0000	0	0
283	ffff	ffff	-1	-1
284	000e	0002	14	2
285	0000	ffff	0	-1
286	0000	0000	0	0
287	ffff	ffff	-1	-1
288	002e	0085	46	133
289	feef	ffe2	-273	-30
290	0000	0000	0	0
291	0000	0000	0	0
292	0000	0000	0	0
293	000c	0013	12	19
294	0000	0000	0	0
295	0000	ffff	0	-1
296	0004	fffd	4	-3
297	0078	ffd7	120	-41
298	0000	0000	0	0
299	0000	ffff	0	-1
300	0000	0000	0	0
301	0000	ffff	0	-1
302	0000	0000	0	0
303	ffff	0000	-1	0
304	000f	ff94	15	-108
305	ff64	ff7c	-156	-132
306	0000	0000	0	0
307	0000	0000	0	0
308	0000	0000	0	0
309	0001	fffe	1	-2
310	0000	0000	0	0
311	ffff	ffff	-1	-1
312	00d7	00e0	215	224
313	fff0	ffed	-16	-19
314	0000	0000	0	0
315	ffff	ffff	-1	-1
316	0018	0000	24	0
317	0000	ffff	0	-1
318	0000	0000	0	0
319	ffff	0000	-1	0
320	022c	ff7e	556	-130
321	00f0	fd63	240	-669
322	0000	0000	0	0
323	0000	ffff	0	-1
324	0000	ffff	0	-1
325	fff9	000b	-7	11
326	0000	0000	0	0
327	ffff	ffff	-1	-1
328	000f	ffff	15	-1
329	ffe3	ff93	-29	-109
330	0000	0000	0	0
331	0000	0000	0	0
332	0002	0000	2	0
333	0001	ffff	1	-1
334	0000	0000	0	0
335	0000	ffff	0	-1
336	ff33	ffdb	-205	-37
337	fff9	0025	-7	37
338	0000	0000	0	0
339	0000	ffff	0	-1
340	0000	0000	0	0
341	ffff	000f	-1	15
342	0000	0000	0	0
343	ffff	0000	-1	0
344	0025	ffdf	37	-33
345	0001	000b	1	11
346	0000	ffff	0	-1
347	ffff	ffff	-1	-1
348	0006	fffe	6	-2
349	0000	fffe	0	-2
350	0000	ffff	0	-1
351	ffff	fffe	-1	-2
352	005d	01dd	93	477
353	fff5	ff78	-11	-136
354	0000	0000	0	0
355	0000	0000	0	0
356	0000	0000	0	0
357	fffe	fffb	-2	-5
358	0000	0000	0	0
359	ffff	ffff	-1	-1
360	0058	ffdd	88	-35
361	fff2	007d	-14	125
362	0000	0000	0	0
363	0000	ffff	0	-1
364	0000	fffe	0	-2
365	0001	ffff	1	-1
366	0000	0000	0	0
367	ffff	ffff	-1	-1
368	004a	ffd3	74	-45
369	00a7	ff4c	167	-180
370	0000	0000	0	0
371	0000	ffff	0	-1
372	0000	0000	0	0
373	0010	fffc	16	-4
374	0000	0000	0	0
375	ffff	ffff	-1	-1
376	0000	0038	0	56
377	ffff	0020	-1	32
378	0000	ffff	0	-1
379	0000	ffff	0	-1
380	0009	fff7	9	-9
381	0000	fffe	0	-2
382	0000	0000	0	0
383	ffff	fffe	-1	-2
384	001f	00a7	31	167
385	001e	ff54	30	-172
386	0000	0000	0	0
387	0000	0000	0	0
388	0000	0000	0	0
389	0009	0007	9	7
390	0000	0000	0	0
391	0000	0000	0	0
392	0000	ffde	0	-34
393	ffff	ffc5	-1	-59
394	0000	0000	0	0
395	ffff	0000	-1	0
396	0010	0002	16	2
397	0000	fffe	0	-2
398	0000	0000	0	0
399	ffff	ffff	-1	-1
400	00a6	00b0	166	176
401	004a	002b	74	43
402	0000	0000	0	0
403	ffff	0000	-1	0
404	0000	0000	0	0
405	0000	0000	0	0
406	0000	0000	0	0
407	0000	0000	0	0
408	fff3	ff82	-13	-126
409	0059	0021	89	33
410	0000	0000	0	0
411	0001	ffff	1	-1
412	ffff	0003	-1	3
413	0000	ffff	0	-1
414	0000	0000	0	0
415	0000	ffff	0	-1
416	fff7	0084	-9	132
417	005d	fe1e	93	-482
418	0000	0000	0	0
419	0000	0000	0	0
420	0000	0000	0	0
421	0006	0000	6	0
422	0000	0000	0	0
423	ffff	0000	-1	0
424	0001	fff3	1	-13
425	0026	001f	38	31
426	0000	0000	0	0
427	0000	0000	0	0
428	0000	fff1	0	-15
429	0000	ffff	0	-1
430	0000	0000	0	0
431	0000	ffff	0	-1
432	fffb	ffd8	-5	-40
433	ff31	0022	-207	34
434	0000	ffff	0	-1
435	0000	ffff	0	-1
436	0000	0000	0	0
437	0002	ffff	2	-1
438	0000	0000	0	0
439	0000	0000	0	0
440	ffe4	0069	-28	105
441	0010	ffff	16	-1
442	0000	0000	0	0
443	0000	0000	0	0
444	fffa	fff4	-6	-12
445	0000	ffff	0	-1
446	0000	0000	0	0
447	ffff	ffff	-1	-1
448	00f0	0299	240	665
449	022c	007f	556	127
450	0000	0000	0	0
451	0000	ffff	0	-1
452	0000	0000	0	0
453	0019	ffff	25	-1
454	0000	0000	0	0
455	0000	ffff	0	-1
456	fff2	0010	-14	16
457	00d7	ff1c	215	-228
458	0000	0000	0	0
459	ffff	ffff	-1	-1
460	0000	0000	0	0
461	0000	ffff	0	-1
462	0000	0000	0	0
463	0000	ffff	0	-1
464	ff66	0080	-154	128
465	000f	006a	15	106
466	0000	0000	0	0
467	ffff	0000	-1	0
468	0000	0000	0	0
469	0000	fffe	0	-2
470	0000	0000	0	0
471	ffff	ffff	-1	-1
472	0078	0025	120	37
473	0004	0001	4	1
474	0000	0000	0	0
475	0000	ffff	0	-1
476	000c	ffeb	12	-21
477	0000	fffe	0	-2
478	0000	ffff	0	-1
479	ffff	ffff	-1	-1
480	fef1	001a	-271	26
481	002e	ff77	46	-137
482	0000	0000	0	0
483	0000	0000	0	0
484	0000	0000	0	0
485	000f	fffb	15	-5
486	0000	0000	0	0
487	0000	0000	0	0
488	fff6	ffe7	-10	-25
489	fffa	0007	-6	7
490	0000	0000	0	0
491	0000	ffff	0	-1
492	ffff	0007	-1	7
493	0001	ffff	1	-1
494	0000	0000	0	0
495	0000	0000	0	0
496	ffe5	ff97	-27	-105
497	0076	0036	118	54
498	0000	0000	0	0
499	0000	ffff	0	-1
500	0000	0000	0	0
501	0001	ffff	1	-1
502	0000	0000	0	0
503	0000	0000	0	0
504	fffc	ffd1	-4	-47
505	0002	ffe8	2	-24
506	0000	0000	0	0
507	0000	ffff	0	-1
508	fff4	000a	-12	10
509	0000	fffe	0	-2
510	0000	ffff	0	-1
511	0000	fffe	0	-2
512	fee3	0040	-285	64
513	ff68	000a	-152	10
514	0000	0000	0	0
515	0000	ffff	0	-1
516	0000	ffff	0	-1
517	0000	000b	0	11
518	0000	0000	0	0
519	ffff	ffff	-1	-1
520	0000	0008	0	8
521	0009	ffdd	9	-35
522	0000	ffff	0	-1
523	0000	ffff	0	-1
524	0000	0000	0	0
525	0000	fffe	0	-2
526	0000	0000	0	0
527	ffff	0000	-1	0
528	0025	ff9b	37	-101
529	ffe0	00a4	-32	164
530	0000	0000	0	0
531	ffff	ffff	-1	-1
532	0000	0000	0	0
533	fff9	fff9	-7	-7
534	0000	0000	0	0
535	0000	0000	0	0
536	fff3	ffff	-13	-1
537	000b	0000	11	0
538	0000	0000	0	0
539	0000	0000	0	0
540	0003	fff1	3	-15
541	0000	ffff	0	-1
542	0000	0000	0	0
543	ffff	ffff	-1	-1
544	010e	0037	270	55
545	fe91	0174	-367	372
546	0000	0000	0	0
547	0000	0000	0	0
548	0000	0000	0	0
549	0011	0008	17	8
550	0000	0000	0	0
551	0000	0000	0	0
552	fff7	ffff	-9	-1
553	ffe1	ffc4	-31	-60
554	0000	0000	0	0
555	0000	0000	0	0
556	0001	0000	1	0
557	0001	ffff	1	-1
558	0000	0000	0	0
559	0000	0000	0	0
560	ff80	ffb7	-128	-73
561	ff30	0033	-208	51
562	0000	0000	0	0
563	0000	ffff	0	-1
564	0000	0000	0	0
565	0000	fffe	0	-2
566	0000	0000	0	0
567	ffff	0000	-1	0
568	0125	ffad	293	-83
569	fff3	0014	-13	20
570	0000	0000	0	0
571	0000	0000	0	0
572	fffe	ffef	-2	-17
573	0000	ffff	0	-1
574	0000	0000	0	0
