236	000e	0024	14	36
237	0013	ffe6	19	-26
238	0012	000e	18	14
239	0013	fffd	19	-3
240	ff1a	008c	-230	140
241	0085	feb2	133	-334
242	0012	0003	18	3
243	0012	fff0	18	-16
244	0012	001b	18	27
245	0015	ffde	21	-34
246	0012	000b	18	11
247	0013	fffa	19	-6
248	0084	0081	132	129
249	ffcd	fff3	-51	-13
250	0013	0007	19	7
251	0013	fff8	19	-8
252	0016	002d	22	45
253	0014	ffea	20	-22
254	0015	0013	21	19
255	0012	ffff	18	-1
256	0047	00c5	71	197
257	ffec	00c0	-20	192
258	0013	0000	19	0
259	0012	ffeb	18	-21
260	0013	0013	19	19
261	fff7	ffe9	-9	-23
262	0012	0007	18	7
263	0012	fff8	18	-8
264	000b	0038	11	56
265	005d	fea4	93	-348
266	0013	0003	19	3
267	0013	fff4	19	-12
268	0016	001d	22	29
269	0011	ffe4	17	-28
270	0012	000c	18	12
271	0011	fffb	17	-5
272	0081	0262	129	610
273	ffee	feb0	-18	-336
274	0012	0001	18	1
275	0012	ffef	18	-17
276	0016	0019	22	25
277	0010	ffdb	16	-37
278	0013	000a	19	10
279	0014	fffa	20	-6
280	004a	007d	74	125
281	0066	ffb5	102	-75
282	0011	0005	17	5
283	0012	fff5	18	-11
284	0010	0023	16	35
285	0013	ffe7	19	-25
286	0013	000e	19	14
287	0013	fffd	19	-3
288	ffe0	010c	-32	268
289	ffa2	fe87	-94	-377
290	0013	0000	19	0
291	0012	ffec	18	-20
292	0012	0013	18	19
293	0008	fff2	8	-14
294	0012	0008	18	8
295	0013	fff8	19	-8
296	fff6	0054	-10	84
297	0045	ffc5	69	-59
298	0012	0003	18	3
299	0013	fff4	19	-12
300	0019	0022	25	34
301	0014	ffe3	20	-29
302	0013	000c	19	12
303	0012	fffc	18	-4
304	0177	02f1	375	753
305	fff0	0080	-16	128
306	0012	0002	18	2
307	0012	fff0	18	-16
308	0011	0017	17	23
309	0012	ffe2	18	-30
310	0013	000c	19	12
311	0012	fffc	18	-4
312	00d4	fff2	212	-14
313	0033	ffbf	51	-65
314	0013	0006	19	6
315	0013	fff6	19	-10
316	0004	0028	4	40
317	0014	ffea	20	-22
318	0014	000f	20	15
319	0012	ffff	18	-1
320	00cc	fc70	204	-912
321	0314	05e1	788	1505
322	0012	0000	18	0
323	0015	ffee	21	-18
324	0014	0012	20	18
325	000d	ffde	13	-34
326	0012	0008	18	8
327	0013	fff8	19	-8
328	000c	0053	12	83
329	004c	ff9b	76	-101
330	0013	0003	19	3
331	0013	fff3	19	-13
332	0013	0019	19	25
333	0013	ffe4	19	-28
334	0013	000d	19	13
335	0014	fffd	20	-3
336	fddd	ffde	-547	-34
337	0217	ff1e	535	-226
338	0013	0001	19	1
339	0014	fff0	20	-16
340	0012	0018	18	24
341	000d	ffde	13	-34
342	0013	000a	19	10
343	0011	fff9	17	-7
344	0058	00dc	88	220
345	fff3	ffbc	-13	-68
346	0012	0006	18	6
347	0012	fff7	18	-9
348	0012	0035	18	53
349	0012	ffea	18	-22
350	0013	0011	19	17
351	0012	fffe	18	-2
352	fff6	fa04	-10	-1532
353	ffa8	ff6a	-88	-150
354	0013	0000	19	0
355	0014	fff0	20	-16
356	0012	0016	18	22
357	0011	ffd8	17	-40
358	0013	0009	19	9
359	0013	fff8	19	-8
360	ffd8	0059	-40	89
