0	0008	000b	8	11
1	ffaa	0000	-86	0
2	fffe	0000	-2	0
3	ffff	0002	-1	2
4	ffff	fffd	-1	-3
5	fff3	fff6	-13	-10
6	fffe	ffff	-2	-1
7	fffe	0000	-2	0
8	fff4	0007	-12	7
9	ffd8	0017	-40	23
10	fffe	0000	-2	0
11	fffc	fffe	-4	-2
12	0000	fffd	0	-3
13	fffe	0002	-2	2
14	fffc	0001	-4	1
15	fffe	0000	-2	0
16	ffd9	ffe7	-39	-25
17	00aa	ff54	170	-172
18	fffe	0000	-2	0
19	ffff	ffff	-1	-1
20	ffff	fffd	-1	-3
21	0002	0001	2	1
22	fffd	ffff	-3	-1
23	fffe	0000	-2	0
24	fff0	0003	-16	3
25	ffef	fffa	-17	-6
26	ffff	ffff	-1	-1
27	fffd	0001	-3	1
28	0001	fffd	1	-3
29	fffe	0001	-2	1
30	0000	ffff	0	-1
31	fffd	ffff	-3	-1
32	00aa	00a8	170	168
33	011b	ffae	283	-82
34	fffe	0000	-2	0
35	fffd	0000	-3	0
36	fffd	fffb	-3	-5
37	0001	0005	1	5
38	ffff	ffff	-1	-1
39	fffc	ffff	-4	-1
40	fff6	0000	-10	0
41	ffd0	000c	-48	12
42	fffe	ffff	-2	-1
43	ffff	fffe	-1	-2
44	0000	fff9	0	-7
45	ffff	0001	-1	1
46	ffff	ffff	-1	-1
47	ffff	0000	-1	0
48	ffe2	003d	-30	61
49	ffe0	ffbf	-32	-65
50	fffe	ffff	-2	-1
51	fffe	0000	-2	0
52	ffff	fffd	-1	-3
53	ffff	0006	-1	6
54	ffff	0001	-1	1
55	fffd	0000	-3	0
56	ffd1	fff2	-47	-14
57	fff5	fffc	-11	-4
58	fffd	0000	-3	0
59	fffe	0000	-2	0
60	0000	fffa	0	-6
61	fffc	0003	-4	3
62	fffe	fffe	-2	-2
63	fffd	ffff	-3	-1
64	011b	004e	283	78
65	0555	fc99	1365	-871
66	fffe	0000	-2	0
67	fffb	fffe	-5	-2
68	fffe	fffb	-2	-5
69	000c	0003	12	3
70	fffd	0000	-3	0
71	ffff	0002	-1	2
72	0003	fff8	3	-8
73	ffc2	0034	-62	52
74	fffd	ffff	-3	-1
75	fffe	0002	-2	2
76	fff9	fffe	-7	-2
77	fffc	0000	-4	0
78	fffd	fffe	-3	-2
79	fffe	0001	-2	1
80	fe9c	ff3f	-356	-193
81	00ad	ff67	173	-153
82	fffe	ffff	-2	-1
83	fffe	0000	-2	0
84	fffe	ffff	-2	-1
85	ffff	0004	-1	4
86	ffff	ffff	-1	-1
87	ffff	0000	-1	0
88	fff7	fff7	-9	-9
89	fff5	000a	-11	10
90	ffff	ffff	-1	-1
91	ffff	0001	-1	1
92	fffe	fffb	-2	-5
93	fffd	fffe	-3	-2
94	fffe	fffd	-2	-3
95	fffd	ffff	-3	-1
96	0019	021c	25	540
97	0018	fde0	24	-544
98	fffe	0000	-2	0
99	fffe	0002	-2	2
100	fffe	0000	-2	0
101	fffd	0004	-3	4
102	ffff	ffff	-1	-1
103	ffff	0001	-1	1
104	fff7	fff5	-9	-11
105	fff5	0007	-11	7
106	ffff	0000	-1	0
107	ffff	0001	-1	1
108	0000	fffb	0	-5
109	fffd	ffff	-3	-1
110	ffff	ffff	-1	-1
111	fffd	ffff	-3	-1
112	00ad	0095	173	149
113	fe9b	00bf	-357	191
114	fffe	ffff	-2	-1
115	fffd	0001	-3	1
116	fffd	fffe	-3	-2
117	fff9	0000	-7	0
118	ffff	fffe	-1	-2
119	fffd	0000	-3	0
120	ffc4	ffca	-60	-54
121	0003	0006	3	6
122	0000	fffd	0	-3
123	fffd	0000	-3	0
124	000b	fffc	11	-4
125	fffd	0003	-3	3
126	fffc	0000	-4	0
127	fffd	ffff	-3	-1
128	0556	0362	1366	866
129	fe8e	0250	-370	592
130	fffe	0000	-2	0
131	fffd	0001	-3	1
132	ffff	ffff	-1	-1
133	fffd	fffe	-3	-2
134	fffe	0000	-2	0
135	fffe	0000	-2	0
136	ffe6	001d	-26	29
137	0029	0040	41	64
138	fffd	ffff	-3	-1
139	fffe	0000	-2	0
140	ffff	fffb	-1	-5
141	fffe	0002	-2	2
142	fffe	0000	-2	0
143	fffd	0000	-3	0
144	0030	fec7	48	-313
145	00e4	0122	228	290
146	ffff	0000	-1	0
147	fffc	0001	-4	1
148	0000	fffd	0	-3
149	fffe	fff7	-2	-9
150	ffff	ffff	-1	-1
151	fffc	0001	-4	1
152	0004	fff0	4	-16
153	ffda	000a	-38	10
154	fffe	ffff	-2	-1
155	ffff	0001	-1	1
156	0003	fff9	3	-7
157	fffe	0001	-2	1
158	fffe	ffff	-2	-1
159	fffd	ffff	-3	-1
160	0073	0012	115	18
161	02e4	fbab	740	-1109
162	fffe	ffff	-2	-1
163	fffe	0002	-2	2
164	fffc	fffd	-4	-3
165	0008	000e	8	14
166	fffd	fffe	-3	-2
167	fffc	0000	-4	0
168	fffd	fff4	-3	-12
169	0003	fff5	3	-11
170	ffff	0000	-1	0
171	fffd	0000	-3	0
172	fff5	fff3	-11	-13
173	fffd	0002	-3	2
174	fffd	ffff	-3	-1
175	fffd	0000	-3	0
176	008c	fe1d	140	-483
177	0011	ffdc	17	-36
178	fffe	0000	-2	0
179	fffc	0001	-4	1
180	fffe	fffc	-2	-4
181	fffe	0002	-2	2
182	fffe	0000	-2	0
183	fffe	0000	-2	0
184	fff9	ffac	-7	-84
185	fffd	0009	-3	9
186	ffff	ffff	-1	-1
187	fffe	0001	-2	1
188	fffe	ffff	-2	-1
189	fffb	0000	-5	0
190	ffff	ffff	-1	-1
191	fffd	0000	-3	0
192	01ac	fd6d	428	-659
193	01ac	0290	428	656
194	ffff	ffff	-1	-1
195	ffff	0001	-1	1
196	fffc	ffff	-4	-1
197	fffe	0000	-2	0
198	ffff	ffff	-1	-1
199	ffff	0001	-1	1
200	fffe	fff6	-2	-10
201	fff8	0052	-8	82
202	fffe	ffff	-2	-1
203	fffe	0000	-2	0
204	ffff	fffd	-1	-3
205	fffd	0003	-3	3
206	fffc	ffff	-4	-1
207	fffd	ffff	-3	-1
208	0011	0020	17	32
209	008b	01e1	139	481
210	fffe	0000	-2	0
211	fffc	0001	-4	1
212	fffd	fffd	-3	-3
213	fff4	000b	-12	11
214	fffe	ffff	-2	-1
215	fffe	0000	-2	0
216	0003	0008	3	8
217	fffd	0009	-3	9
218	fffd	ffff	-3	-1
219	fffc	0001	-4	1
220	0008	fff0	8	-16
221	fffa	0001	-6	1
222	fffe	fffd	-2	-3
223	fffd	fffe	-3	-2
224	02e5	0450	741	1104
225	0073	ffe9	115	-23
226	fffe	0000	-2	0
227	fffe	0000	-2	0
228	ffff	fffe	-1	-2
229	0004	0006	4	6
230	0000	ffff	0	-1
231	fffe	0000	-2	0
232	ffdc	fff4	-36	-12
233	0005	000f	5	15
234	fffd	ffff	-3	-1
235	ffff	0000	-1	0
236	0000	0006	0	6
237	ffff	0002	-1	2
238	fffd	ffff	-3	-1
239	fffd	0000	-3	0
240	00e3	fedc	227	-292
241	0030	0137	48	311
242	fffe	ffff	-2	-1
243	fffe	ffff	-2	-1
244	ffff	fffe	-1	-2
245	fffd	0005	-3	5
246	fffe	0000	-2	0
247	fffc	0001	-4	1
248	0028	ffbf	40	-65
249	ffe5	ffe0	-27	-32
250	ffff	ffff	-1	-1
251	fffd	ffff	-3	-1
252	fffe	0000	-2	0
253	fffd	0000	-3	0
254	fffd	ffff	-3	-1
255	fffe	0000	-2	0
256	fe91	fdac	-367	-596
257	0034	ffa1	52	-95
258	fffe	ffff	-2	-1
259	fffe	0000	-2	0
260	ffff	fffe	-1	-2
261	fffb	0002	-5	2
262	fffd	0000	-3	0
263	fffd	0000	-3	0
264	fffb	fff9	-5	-7
265	ff9b	ff64	-101	-156
266	fffe	0000	-2	0
267	fffd	0001	-3	1
268	fffb	fffe	-5	-2
269	fffb	0004	-5	4
270	fffe	fffe	-2	-2
271	fffd	ffff	-3	-1
272	00cc	ff94	204	-108
273	ffb6	00bb	-74	187
274	ffff	ffff	-1	-1
275	fffe	0001	-2	1
276	fffe	fffd	-2	-3
277	fffc	0004	-4	4
278	fffe	0000	-2	0
279	fffe	0001	-2	1
280	0022	ffd6	34	-42
281	ffee	fff9	-18	-7
282	fffe	0000	-2	0
283	fffe	0000	-2	0
284	fffc	fff4	-4	-12
285	ffff	0000	-1	0
286	fffd	ffff	-3	-1
287	fffd	ffff	-3	-1
288	0029	0074	41	116
289	fea3	008e	-349	142
290	fffe	0000	-2	0
291	ffff	0001	-1	1
292	fffe	0000	-2	0
293	fffa	fff6	-6	-10
294	fffe	0000	-2	0
295	0000	ffff	0	-1
296	fffe	0003	-2	3
297	ffe0	0002	-32	2
298	fffd	0000	-3	0
299	ffff	0001	-1	1
300	fffd	fffb	-3	-5
301	fffe	fffd	-2	-3
302	0000	ffff	0	-1
303	fffe	fffe	-2	-2
304	ff6c	0290	-148	656
305	ff8a	0026	-118	38
306	fffe	ffff	-2	-1
307	fffe	ffff	-2	-1
308	fffe	fffe	-2	-2
309	fffd	0005	-3	5
310	ffff	fffe	-1	-2
311	fffe	ffff	-2	-1
312	ffcf	ff7e	-49	-130
313	fff0	0000	-16	0
314	0000	0000	0	0
315	fffe	0000	-2	0
316	0002	0005	2	5
317	fffb	ffff	-5	-1
318	fffe	ffff	-2	-1
319	fffd	0000	-3	0
320	02bf	ffaa	703	-86
321	0285	01e6	645	486
322	fffe	0000	-2	0
323	fffc	ffff	-4	-1
324	0000	0000	0	0
325	fff9	0000	-7	0
326	fffe	fffd	-2	-3
327	fffe	0002	-2	2
328	fff8	fffc	-8	-4
329	003d	fffe	61	-2
330	fffe	0000	-2	0
331	fffd	0001	-3	1
332	fffd	ffff	-3	-1
333	fffd	0001	-3	1
334	0000	fffd	0	-3
335	fffd	ffff	-3	-1
336	0059	00a1	89	161
337	feda	00d3	-294	211
338	fffe	0000	-2	0
339	fffc	0003	-4	3
340	fffc	fffe	-4	-2
341	fffd	0000	-3	0
342	fffe	ffff	-2	-1
343	fffc	ffff	-4	-1
344	0027	ffa0	39	-96
345	fff0	fff3	-16	-13
346	fffe	ffff	-2	-1
347	ffff	0001	-1	1
348	0000	fffc	0	-4
349	fffe	0001	-2	1
350	fffe	0000	-2	0
351	fffe	ffff	-2	-1
352	ff4f	fd31	-177	-719
353	feb5	fec1	-331	-319
354	ffff	0000	-1	0
355	fffe	0000	-2	0
356	fffe	fffe	-2	-2
357	0006	ffff	6	-1
358	fffd	fffe	-3	-2
359	ffff	ffff	-1	-1
360	fff6	ffef	-10	-17
361	fffb	0039	-5	57
362	fffe	0000	-2	0
363	fffe	ffff	-2	-1
364	0000	fff9	0	-7
365	fffb	0001	-5	1
366	fffe	fffe	-2	-2
367	fffe	0000	-2	0
368	ffc1	ff7f	-63	-129
369	fe1a	fdfe	-486	-514
370	fffe	0000	-2	0
371	fffe	0001	-2	1
372	fffd	fffe	-3	-2
373	ffff	0005	-1	5
374	ffff	0000	-1	0
375	fffe	0000	-2	0
376	ffe0	ffff	-32	-1
377	0003	0003	3	3
378	fffe	ffff	-2	-1
379	fffe	0002	-2	2
380	fffb	fffe	-5	-2
381	fffb	0002	-5	2
382	fffd	fffe	-3	-2
383	fffe	0000	-2	0
384	fef2	ff9e	-270	-98
385	feef	005f	-273	95
386	fffe	0000	-2	0
387	fffd	0001	-3	1
388	fffd	fffc	-3	-4
389	fffa	0000	-6	0
390	ffff	fffd	-1	-3
391	fffe	0000	-2	0
392	0003	fffb	3	-5
393	ffde	fffe	-34	-2
394	fffe	ffff	-2	-1
395	fffe	ffff	-2	-1
396	ffff	fff9	-1	-7
397	fffc	0001	-4	1
398	fffe	fffe	-2	-2
399	fffd	fffe	-3	-2
400	fe1c	01fe	-484	510
401	ffbf	007e	-65	126
402	fffe	ffff	-2	-1
403	fffe	0002	-2	2
404	fffc	fffe	-4	-2
405	0001	0006	1	6
406	ffff	0000	-1	0
407	fffe	ffff	-2	-1
408	fffd	ffc5	-3	-59
409	fff4	0010	-12	16
410	ffff	0000	-1	0
411	fffc	0001	-4	1
412	0005	ffff	5	-1
413	fffd	0001	-3	1
414	ffff	0000	-1	0
415	fffe	ffff	-2	-1
416	feb7	013b	-329	315
417	ff4d	02cc	-179	716
418	ffff	0000	-1	0
419	fffe	0000	-2	0
420	ffff	fffe	-1	-2
421	ffff	0003	-1	3
422	0000	ffff	0	-1
423	fffe	0000	-2	0
424	fff1	000a	-15	10
425	0028	005f	40	95
426	fffd	0000	-3	0
427	fffe	0001	-2	1
428	fffe	ffff	-2	-1
429	fffb	0001	-5	1
430	fffc	fffd	-4	-3
431	fffd	0000	-3	0
432	fedc	ff2c	-292	-212
433	005a	ff5b	90	-165
434	fffe	0000	-2	0
435	ffff	0002	-1	2
436	fffe	fffe	-2	-2
437	fffb	0000	-5	0
438	fffd	ffff	-3	-1
439	fffd	ffff	-3	-1
440	003c	0000	60	0
441	fff5	0002	-11	2
442	fffe	fffe	-2	-2
443	fffe	0002	-2	2
444	fffa	fffe	-6	-2
445	ffff	fffe	-1	-2
446	fffd	ffff	-3	-1
447	fffd	0000	-3	0
448	0286	fe17	646	-489
449	02be	0053	702	83
450	fffe	ffff	-2	-1
451	fffe	ffff	-2	-1
452	fffc	ffff	-4	-1
453	0002	fff8	2	-8
454	fffe	ffff	-2	-1
455	ffff	0000	-1	0
456	fff1	fffe	-15	-2
457	ffce	0080	-50	128
458	fffe	0000	-2	0
459	ffff	0001	-1	1
460	fffe	fff9	-2	-7
461	fffd	0000	-3	0
462	ffff	0000	-1	0
463	fffe	0000	-2	0
464	ff8c	ffd7	-116	-41
465	ff6a	fd6c	-150	-660
466	fffe	0000	-2	0
467	ffff	0000	-1	0
468	fffe	0000	-2	0
469	fffc	0003	-4	3
470	ffff	ffff	-1	-1
471	fffc	0000	-4	0
472	ffe1	fffc	-31	-4
473	fffd	fffa	-3	-6
474	0000	0000	0	0
475	fffd	ffff	-3	-1
476	fffb	0007	-5	7
477	fffd	fffe	-3	-2
478	ffff	ffff	-1	-1
479	fffe	0000	-2	0
480	fea5	ff70	-347	-144
481	0029	ff88	41	-120
482	fffe	0000	-2	0
483	fffd	0000	-3	0
484	ffff	fffe	-1	-2
485	fffb	000a	-5	10
486	fffe	ffff	-2	-1
487	fffd	ffff	-3	-1
488	ffef	0004	-17	4
489	0022	0028	34	40
490	fffe	fffe	-2	-2
491	fffe	0000	-2	0
492	fffc	fffc	-4	-4
493	fffd	0002	-3	2
494	fffe	ffff	-2	-1
495	fffe	ffff	-2	-1
496	ffb7	ff42	-73	-190
497	00cc	006a	204	106
498	fffe	0000	-2	0
499	fffe	0002	-2	2
500	fffd	fffb	-3	-5
501	fffb	0001	-5	1
502	fffe	ffff	-2	-1
503	fffe	fffe	-2	-2
504	ff9d	0098	-99	152
505	fffa	0005	-6	5
506	fffe	ffff	-2	-1
