217	fff7	fff9	-9	-7
218	fffd	ffff	-3	-1
219	fffd	0000	-3	0
220	001c	0000	28	0
221	fffc	0002	-4	2
222	fffd	fffe	-3	-2
223	fffc	ffff	-4	-1
224	0168	047b	360	1147
225	0090	ffc4	144	-60
226	fffd	0000	-3	0
227	fffd	0001	-3	1
228	fffe	fffc	-2	-4
229	0003	fffb	3	-5
230	fffe	fffe	-2	-2
231	fffd	0001	-3	1
232	0047	ffb2	71	-78
233	0035	005b	53	91
234	fffe	ffff	-2	-1
235	fffe	0002	-2	2
236	fffe	fffc	-2	-4
237	fffc	0002	-4	2
238	fffd	fffe	-3	-2
239	fffd	0000	-3	0
240	00d3	fe2f	211	-465
241	ffcd	00fe	-51	254
242	fffd	0000	-3	0
243	fffd	0001	-3	1
244	fffc	fffe	-4	-2
245	fffe	0003	-2	3
246	fffe	ffff	-2	-1
247	fffe	0000	-2	0
248	ffe1	fff9	-31	-7
249	001a	ffc8	26	-56
250	fffe	ffff	-2	-1
251	fffd	0001	-3	1
252	ffff	fffa	-1	-6
253	fffc	0002	-4	2
254	fffe	fffc	-2	-4
255	fffc	ffff	-4	-1
256	0179	fd86	377	-634
257	00d8	fed5	216	-299
258	fffe	0000	-2	0
259	fffe	0003	-2	3
260	0000	fffc	0	-4
261	0000	0018	0	24
262	fffe	ffff	-2	-1
263	fffd	ffff	-3	-1
264	0005	0000	5	0
265	00dd	00a4	221	164
266	fffd	0000	-3	0
267	fffd	0000	-3	0
268	0000	fffe	0	-2
269	fffa	0000	-6	0
270	fffe	fffe	-2	-2
271	fffc	0000	-4	0
272	0148	ff99	328	-103
273	ff44	0081	-188	129
274	fffe	ffff	-2	-1
275	fffd	0002	-3	2
276	fffd	fffb	-3	-5
277	fffd	0002	-3	2
278	fffe	ffff	-2	-1
279	fffd	0000	-3	0
280	fffe	ffff	-2	-1
281	fff5	0016	-11	22
282	fffe	ffff	-2	-1
283	ffff	0001	-1	1
284	ffff	fffc	-1	-4
285	fffd	0002	-3	2
286	fffd	fffe	-3	-2
287	fffd	ffff	-3	-1
288	009a	000b	154	11
289	fe5c	045d	-420	1117
290	fffe	0000	-2	0
291	fffe	0002	-2	2
292	fffe	fffd	-2	-3
293	fff8	0003	-8	3
294	fffd	fffe	-3	-2
295	fffc	ffff	-4	-1
296	000f	000f	15	15
297	ffe6	fffb	-26	-5
298	fffe	ffff	-2	-1
299	0000	0001	0	1
300	fffa	fffd	-6	-3
301	fffb	0001	-5	1
302	fffe	fffe	-2	-2
303	fffd	0000	-3	0
304	ffe1	ff5e	-31	-162
305	0212	febc	530	-324
306	fffd	0000	-3	0
307	fffd	0002	-3	2
308	fffe	fffd	-2	-3
309	fffc	0003	-4	3
310	fffd	fffe	-3	-2
311	fffd	ffff	-3	-1
312	ffff	00a4	-1	164
313	000e	001a	14	26
314	fffd	ffff	-3	-1
315	fffd	0001	-3	1
316	fffe	fff8	-2	-8
317	fffc	0001	-4	1
318	fffe	fffe	-2	-2
319	fffd	ffff	-3	-1
320	01b4	035f	436	863
321	fcef	fcc4	-785	-828
322	fffd	0000	-3	0
323	fffe	0002	-2	2
324	fffe	fffc	-2	-4
325	fffe	0004	-2	4
326	fffe	ffff	-2	-1
