0	3.781250	-1.312500
1	2.156250	0.000000
2	3.750000	1.187500
3	-0.625000	6.000000
4	51.031250	-20.531250
5	2.187500	-6.312500
6	-18.750000	36.062500
7	43.062500	29.500000
8	-4.468750	-41.968750
9	-9.875000	-16.906250
10	3.406250	-5.156250
11	24.625000	47.031250
12	-57.000000	116.468750
13	20.531250	0.468750
14	2.718750	-47.937500
15	6.343750	28.406250
16	7.656250	15.062500
17	17.375000	47.812500
18	-29.437500	-66.812500
19	-2.937500	-11.781250
20	7.562500	31.125000
21	-23.312500	-51.375000
22	-9.062500	-43.718750
23	-0.343750	47.781250
24	-0.718750	-34.125000
25	-1.031250	-29.187500
26	-18.750000	40.781250
27	-2.750000	-4.687500
28	-4.125000	-8.406250
29	-2.687500	-3.375000
30	4.156250	-19.375000
31	-1.062500	-8.500000
32	-3.906250	-2.406250
33	-5.750000	0.031250
34	-6.406250	-38.500000
35	-0.562500	-10.500000
36	-1.812500	-6.562500
37	-7.250000	-4.500000
38	-8.593750	-11.468750
39	4.593750	-5.125000
40	-7.875000	-22.593750
41	-11.500000	2.343750
42	-16.468750	-2.343750
43	16.718750	-7.062500
44	10.750000	-3.687500
45	1.718750	8.125000
46	2.312500	-11.937500
47	11.750000	-23.656250
48	-5.531250	-10.375000
49	-1.468750	-9.437500
50	-2.031250	-11.062500
51	-0.500000	4.000000
52	-1.000000	-2.250000
53	-3.968750	-2.906250
54	-8.500000	-6.843750
55	-17.156250	0.968750
56	-34.468750	-1.562500
57	40.156250	4.625000
58	14.843750	-2.531250
59	27.687500	-4.968750
60	-0.718750	-3.218750
61	4.156250	-10.437500
62	-1.593750	-3.250000
63	4.031250	-19.187500
64	-3.906250	1.968750
65	-5.000000	-4.750000
66	1.437500	-3.781250
67	2.906250	-10.875000
68	2.468750	-4.968750
69	4.125000	-4.125000
70	2.500000	-1.468750
71	-0.343750	-6.781250
72	2.531250	-1.656250
73	-1.500000	-7.625000
74	0.062500	-1.343750
75	2.375000	-3.156250
76	0.687500	5.375000
77	1.968750	-6.000000
78	-0.187500	2.218750
79	6.625000	0.375000
80	6.406250	-7.656250
81	3.625000	-0.500000
82	2.281250	-1.781250
83	2.156250	-1.843750
84	2.312500	0.468750
85	0.125000	-9.312500
86	-1.812500	-2.406250
87	2.781250	-7.000000
88	1.781250	-2.281250
89	-0.125000	-1.625000
90	-0.531250	-9.187500
91	1.062500	-1.781250
92	0.968750	-0.375000
93	2.500000	-2.125000
